,,,"Percentage of 18-64 population who see good opportunities to start a firm in the area where they live","Percentage of 18-64 population who believe they have the required skills and knowledge to start a business","Percentage of the 18–64 population who agree that they see good opportunities but would not start a business for fear it might fail. NOTE: this is a percentage of those seeing good opportunities, and not the total adult population","Percentage of 18-64 population (individuals involved in any stage of entrepreneurial activity excluded) who are latent entrepreneurs and who intend to start a business within three years","Percentage of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business","Percentage of 18-64 population who are currently an owner-manager of an established business, i.e., owning and managing a running business that has paid salaries, wages, or any other payments to the owners for more than 42 months","Percentage of female 18-64 population who are either a nascent entrepreneur or owner-manager of a new business, divided by the equivalent percentage for their male counterparts","Percentage of those involved in TEA who expect to create 6 or more jobs in 5 years","Percentage of those involved in TEA in the Business Services sector  Information and Communication, Financial Intermediation and Real Estate, Professional Services or Administrative Services, as defined by the ISIC 4.0 Business Type Codebook"
386,Slovenia,2016,25.34,51.80,33.78,11.38,8.02,6.70,0.47,26.40,27.81
34,Spain,2016,25.56,46.69,38.91,5.11,5.23,6.20,0.81,9.70,25.08
46,Sweden,2016,78.50,35.51,40.77,8.36,7.58,4.50,0.72,12.20,37.65
41,Switzerland,2016,41.42,43.26,31.20,7.87,8.21,11.10,0.48,25.10,36.40
44,"United Kingdom",2016,42.30,47.96,35.23,9.14,8.80,6.10,0.47,28.40,34.70
32,Belgium,2015,40.26,31.89,48.48,10.85,6.24,3.75,0.66,19.50,27.50
359,Bulgaria,2015,15.84,35.17,33.28,5.34,3.46,5.44,0.72,7.30,8.70
385,Croatia,2015,22.30,47.52,34.42,17.21,7.69,2.81,0.59,30.40,22.50
372,Estonia,2015,51.43,44.02,39.30,16.68,13.14,7.74,0.58,30.00,25.90
358,Finland,2015,48.62,37.39,32.62,10.86,6.59,10.21,0.47,18.20,31.40
49,Germany,2015,38.27,36.19,42.29,7.18,4.70,4.82,0.54,21.00,24.80
30,Greece,2015,14.19,46.78,46.86,8.29,6.75,13.09,0.79,4.30,19.40
36,Hungary,2015,25.34,38.67,41.82,14.75,7.92,6.49,0.53,31.40,11.90
353,Ireland,2015,39.35,45.02,40.87,14.57,9.33,5.60,0.44,33.00,29.60
39,Italy,2015,25.66,30.54,57.46,8.15,4.87,4.51,0.43,5.00,19.30
371,Latvia,2015,34.73,49.08,38.60,22.24,14.11,9.59,0.52,31.40,19.50
352,Luxembourg,2015,48.18,43.96,42.58,13.48,10.19,3.28,0.75,11.30,36.10
31,Netherlands,2015,48.36,40.55,33.17,9.43,7.21,9.87,0.32,21.00,33.90
389,"North Macedonia",2015,37.77,54.44,34.33,23.32,6.11,5.91,0.41,22.20,11.40
47,Norway,2015,68.93,30.76,33.41,4.78,5.66,6.53,0.51,15.80,36.50
48,Poland,2015,32.89,55.92,47.80,19.97,9.21,5.92,0.48,26.10,24.50
351,Portugal,2015,28.07,48.85,40.80,16.17,9.49,7.00,0.54,17.10,18.50
40,Romania,2015,33.31,46.33,40.49,29.01,10.83,7.47,0.53,39.80,17.60
421,Slovakia,2015,26.44,52.38,33.65,15.69,9.64,5.69,0.50,28.50,32.60
386,Slovenia,2015,20.54,48.61,32.39,9.11,5.91,4.21,0.39,20.50,19.60
34,Spain,2015,25.97,45.26,39.15,5.59,5.70,7.70,0.79,8.70,29.30
46,Sweden,2015,70.22,36.70,36.45,8.44,7.16,5.20,0.51,16.10,30.80
41,Switzerland,2015,41.79,44.00,33.80,7.04,7.31,11.33,0.54,19.30,31.90
44,"United Kingdom",2015,41.55,43.57,34.93,8.16,6.93,5.26,0.53,19.00,34.50
43,Austria,2014,44.40,48.67,34.92,8.15,8.71,9.86,0.68,11.62,35.01
32,Belgium,2014,35.93,30.40,49.35,10.55,5.40,3.54,0.41,15.40,28.97
387,"Bosnia and Herzegovina",2014,19.59,47.30,26.80,20.43,7.42,6.67,0.40,28.74,13.40
385,Croatia,2014,18.43,45.91,30.30,19.50,7.97,3.61,0.42,33.88,30.64
45,Denmark,2014,59.66,34.88,40.99,6.92,5.47,5.09,0.53,19.09,43.43
372,Estonia,2014,49.44,42.47,41.77,9.85,9.43,5.70,0.69,20.31,30.06
358,Finland,2014,42.38,34.88,36.76,7.94,5.63,6.60,0.70,15.70,23.85
33,France,2014,28.26,35.44,41.18,14.20,5.34,2.94,0.60,24.20,31.42
49,Germany,2014,37.59,36.40,39.95,5.93,5.27,5.15,0.61,20.04,37.30
30,Greece,2014,19.91,45.54,61.58,9.53,7.85,12.84,0.59,8.87,14.43
36,Hungary,2014,23.40,40.94,41.96,13.89,9.33,7.95,0.39,33.73,22.15
353,Ireland,2014,33.36,47.24,39.33,7.16,6.53,9.91,0.48,32.00,34.39
39,Italy,2014,26.57,31.31,49.10,11.40,4.42,4.27,0.55,12.43,22.61
383,Kosovo,2014,65.62,65.20,26.73,6.31,4.03,2.06,0.69,14.97,10.97
370,Lithuania,2014,31.66,33.44,44.77,19.65,11.32,7.84,0.42,28.73,16.81
352,Luxembourg,2014,42.54,37.56,42.01,11.86,7.14,3.70,0.60,21.42,40.20
31,Netherlands,2014,45.55,44.26,34.79,9.29,9.46,9.59,0.63,14.32,29.77
47,Norway,2014,63.45,30.54,37.56,4.99,5.65,5.35,0.55,12.39,36.28
48,Poland,2014,31.35,54.30,51.11,15.56,9.21,7.30,0.48,25.73,24.36
351,Portugal,2014,22.87,46.59,38.38,15.81,9.97,7.58,0.72,18.69,22.21
40,Romania,2014,32.41,48.44,41.25,31.70,11.35,7.60,0.41,41.15,21.11
7,Russia,2014,26.50,27.83,39.49,3.53,4.69,3.95,0.64,21.72,14.36
421,Slovakia,2014,23.50,54.40,35.96,15.14,10.90,7.80,0.52,31.19,25.25
386,Slovenia,2014,17.25,48.60,29.00,11.36,6.33,4.76,0.51,19.55,33.44
34,Spain,2014,22.61,48.13,38.03,7.09,5.47,7.03,0.72,15.70,28.66
46,Sweden,2014,70.07,36.65,36.53,8.47,6.71,6.46,0.40,19.12,46.84
41,Switzerland,2014,43.67,41.59,28.98,7.07,7.12,9.10,1.02,16.44,31.76
44,"United Kingdom",2014,40.99,46.44,36.84,6.88,10.66,6.50,0.55,21.33,27.19
32,Belgium,2013,31.50,33.85,46.55,7.85,4.92,5.94,0.54,18.06,28.35
387,"Bosnia and Herzegovina",2013,23.26,50.50,26.08,21.76,10.34,4.51,0.53,26.97,9.72
385,Croatia,2013,17.58,47.18,35.18,19.60,8.27,3.28,0.45,26.16,22.30
420,"Czech Republic",2013,23.08,42.59,35.75,13.73,7.33,5.26,0.39,24.71,28.20
372,Estonia,2013,46.07,39.96,38.83,19.39,13.11,5.01,0.55,22.38,22.18
358,Finland,2013,43.80,33.26,36.73,8.34,5.29,6.65,0.61,16.99,26.09
33,France,2013,22.87,33.15,41.13,12.59,4.57,4.09,0.50,18.22,30.10
49,Germany,2013,31.30,37.72,38.58,6.84,4.98,5.07,0.65,19.55,30.10
30,Greece,2013,13.54,45.99,49.33,8.77,5.51,12.60,0.41,7.08,27.04
36,Hungary,2013,18.87,37.50,44.82,13.73,9.68,7.20,0.57,22.55,21.53
353,Ireland,2013,28.28,43.14,40.43,12.59,9.25,7.50,0.53,27.71,20.50
39,Italy,2013,17.34,29.11,48.59,9.80,3.43,3.67,0.43,7.96,24.55
371,Latvia,2013,34.80,47.85,41.62,22.69,13.25,8.84,0.61,36.67,23.11
370,Lithuania,2013,28.72,35.38,41.65,22.43,12.43,8.34,0.45,31.10,24.21
352,Luxembourg,2013,45.57,43.28,42.91,14.13,8.69,2.39,0.49,16.93,38.42
31,Netherlands,2013,32.66,42.38,36.81,9.08,9.27,8.68,0.58,12.64,32.13
389,"North Macedonia",2013,37.15,49.69,35.57,29.11,6.63,7.29,0.41,25.54,12.04
47,Norway,2013,63.67,34.18,35.25,5.23,6.25,6.15,0.41,15.20,35.83
48,Poland,2013,26.06,51.77,46.72,17.27,9.28,6.47,0.50,36.18,14.94
351,Portugal,2013,20.24,48.75,40.09,13.24,8.25,7.72,0.54,20.46,28.02
40,Romania,2013,28.86,45.87,37.26,23.65,10.13,5.35,0.64,39.24,17.78
7,Russia,2013,18.19,28.15,29.04,2.60,5.75,3.41,0.86,23.18,12.07
421,Slovakia,2013,16.10,51.01,33.17,16.39,9.52,5.39,0.62,25.80,24.46
386,Slovenia,2013,16.06,51.48,29.61,12.37,6.45,5.68,0.46,30.03,36.93
34,Spain,2013,16.01,48.39,36.30,8.43,5.21,8.39,0.67,11.67,27.94
46,Sweden,2013,64.45,38.80,36.59,9.53,8.25,6.03,0.61,12.72,40.36
41,Switzerland,2013,41.52,44.72,28.24,9.78,8.18,9.96,0.97,13.82,30.96
44,"United Kingdom",2013,35.54,43.85,36.40,7.19,7.14,6.55,0.63,20.20,35.82
43,Austria,2012,49.21,49.61,35.96,8.57,9.58,7.61,0.74,10.14,40.13
32,Belgium,2012,33.29,37.11,40.83,9.06,5.20,5.12,0.34,20.61,22.59
387,"Bosnia and Herzegovina",2012,19.57,49.11,26.94,21.94,7.78,6.00,0.49,27.78,6.42
385,Croatia,2012,17.15,44.06,36.04,19.26,8.27,3.06,0.41,27.22,26.66
45,Denmark,2012,44.41,31.02,39.26,6.64,5.36,3.45,0.41,25.72,34.28
372,Estonia,2012,45.24,43.19,34.49,16.38,14.26,7.24,0.51,32.44,26.50
358,Finland,2012,55.33,34.32,36.52,7.73,5.98,8.04,0.52,16.61,27.90
33,France,2012,37.52,35.66,42.84,17.29,5.17,3.23,0.63,23.43,33.37
49,Germany,2012,36.16,37.09,41.91,6.01,5.34,4.95,0.50,23.10,30.45
30,Greece,2012,12.95,50.00,61.29,9.51,6.51,12.27,0.51,11.00,24.45
36,Hungary,2012,10.95,39.83,34.28,12.96,9.22,8.10,0.45,25.80,23.40
353,Ireland,2012,25.55,45.16,35.37,5.43,6.15,8.32,0.48,31.45,34.79
39,Italy,2012,19.80,29.97,57.68,10.76,4.32,3.32,0.51,10.37,24.94
371,Latvia,2012,33.05,43.56,36.74,21.85,13.39,7.93,0.43,48.43,16.87
370,Lithuania,2012,29.99,39.83,35.78,17.98,6.69,8.24,0.44,41.79,28.81
31,Netherlands,2012,34.40,42.30,30.45,8.63,10.31,9.49,0.48,11.69,27.95
389,"North Macedonia",2012,30.79,55.11,39.43,27.74,6.97,6.73,0.49,27.73,11.67
47,Norway,2012,64.43,34.37,39.37,4.91,6.75,5.75,0.36,12.59,33.08
48,Poland,2012,20.42,53.89,43.45,21.57,9.36,5.81,0.49,22.48,18.10
351,Portugal,2012,16.19,46.80,42.30,14.37,7.67,6.23,0.66,18.05,23.75
40,Romania,2012,36.73,38.34,40.87,27.02,9.22,3.91,0.40,39.83,17.26
7,Russia,2012,20.08,23.50,46.51,2.23,4.34,2.05,0.64,26.27,8.91
421,Slovakia,2012,17.84,49.73,38.32,11.83,10.22,6.38,0.49,29.52,32.35
386,Slovenia,2012,19.62,51.32,27.28,13.25,5.42,5.79,0.32,23.43,41.83
34,Spain,2012,13.90,50.38,41.76,11.13,5.70,8.74,0.54,9.31,25.65
46,Sweden,2012,66.48,36.99,32.61,10.96,6.44,5.25,0.61,15.72,38.23
41,Switzerland,2012,35.67,37.34,32.29,7.26,5.93,8.44,0.85,10.68,33.62
44,"United Kingdom",2012,32.82,47.13,36.01,9.52,8.98,6.16,0.54,23.66,33.00
32,Belgium,2011,42.97,43.99,40.73,10.89,5.69,6.79,0.66,10.39,30.22
387,"Bosnia and Herzegovina",2011,20.53,48.86,30.47,17.17,8.10,4.99,0.47,21.71,14.89
385,Croatia,2011,18.25,48.97,34.26,17.88,7.32,4.20,0.47,31.02,29.99
420,"Czech Republic",2011,23.90,39.22,34.62,13.93,7.64,5.20,0.38,34.97,22.78
45,Denmark,2011,46.64,34.97,40.52,6.72,4.63,4.93,0.46,22.92,33.13
358,Finland,2011,60.82,37.26,31.96,7.13,6.25,8.81,0.53,15.20,31.09
33,France,2011,34.92,38.43,37.13,17.70,5.73,2.38,0.34,27.78,36.63
49,Germany,2011,35.17,37.14,41.99,5.49,5.62,5.64,0.66,19.98,25.07
30,Greece,2011,10.87,49.69,37.76,10.50,7.95,15.79,0.58,7.59,20.56
36,Hungary,2011,14.22,39.98,34.93,19.54,6.29,2.00,0.52,36.93,22.64
353,Ireland,2011,25.57,45.50,33.22,5.75,7.25,7.98,0.41,34.19,34.30
371,Latvia,2011,23.65,46.53,41.00,24.83,11.85,5.67,0.53,40.21,20.87
370,Lithuania,2011,23.20,35.40,39.92,16.81,11.26,6.33,0.46,33.52,23.84
31,Netherlands,2011,47.78,41.87,35.08,8.50,8.21,8.65,0.58,16.94,33.53
47,Norway,2011,67.07,33.24,40.53,8.67,6.94,6.65,0.44,14.39,30.60
48,Poland,2011,33.10,51.99,42.93,22.69,9.03,4.97,0.39,38.40,21.23
351,Portugal,2011,16.74,46.67,39.63,12.17,7.54,5.71,0.45,16.47,24.95
40,Romania,2011,36.06,41.63,36.12,24.66,9.89,4.57,0.59,42.37,25.42
7,Russia,2011,27.06,33.20,43.44,3.61,4.57,2.84,0.79,29.45,9.45
421,Slovakia,2011,23.08,52.92,31.83,17.80,14.20,9.64,0.40,27.66,19.99
386,Slovenia,2011,18.37,50.79,31.10,9.21,3.65,4.78,0.59,35.50,34.27
34,Spain,2011,14.41,50.86,38.91,7.99,5.81,8.85,0.64,18.26,23.07
46,Sweden,2011,71.49,40.32,34.57,9.78,5.80,7.00,0.63,20.88,37.88
41,Switzerland,2011,47.40,42.45,30.57,9.52,6.58,10.15,0.99,13.19,28.75
44,"United Kingdom",2011,33.30,42.47,36.05,8.85,7.29,7.16,0.56,26.58,42.61
32,Belgium,2010,39.58,44.86,35.06,8.22,3.67,2.69,0.83,10.12,33.49
387,"Bosnia and Herzegovina",2010,38.25,62.55,27.45,16.76,7.74,6.64,0.37,13.21,10.37
385,Croatia,2010,23.32,53.19,31.18,7.43,5.52,2.90,0.55,30.14,29.08
45,Denmark,2010,46.42,40.75,31.51,5.91,3.77,5.56,0.44,18.54,37.68
358,Finland,2010,51.13,39.53,28.61,5.89,5.72,9.44,0.52,9.43,28.27
33,France,2010,33.87,37.27,40.48,14.18,5.83,2.44,0.68,18.45,28.31
49,Germany,2010,28.48,41.63,33.69,6.37,4.17,5.69,0.54,17.71,34.09
30,Greece,2010,15.91,52.18,50.86,12.84,5.51,14.84,0.59,10.34,28.12
36,Hungary,2010,33.33,43.36,42.41,13.82,7.13,5.42,0.42,23.50,27.32
354,Iceland,2010,48.74,48.99,33.69,15.71,10.58,7.42,0.51,29.68,33.54
353,Ireland,2010,22.50,49.15,33.36,6.14,6.76,8.55,0.41,28.00,30.72
39,Italy,2010,24.68,42.42,36.80,3.97,2.35,3.70,0.74,17.48,36.97
371,Latvia,2010,29.10,50.75,39.87,21.35,9.68,7.64,0.50,35.46,23.85
382,Montenegro,2010,36.07,70.88,30.42,31.86,14.94,7.81,0.54,27.37,13.33
31,Netherlands,2010,44.80,45.51,23.76,5.47,7.22,9.03,0.43,21.23,46.65
389,"North Macedonia",2010,34.26,59.72,30.91,26.69,7.88,7.58,0.34,30.15,7.41
47,Norway,2010,49.75,40.45,26.62,7.56,7.72,6.71,0.33,23.23,39.73
351,Portugal,2010,20.25,52.08,29.71,8.76,4.40,5.44,0.51,10.62,15.06
40,Romania,2010,17.52,38.18,41.12,8.59,4.29,2.08,0.62,33.20,20.30
7,Russia,2010,21.65,22.69,41.69,2.61,3.94,2.79,0.79,16.47,8.77
386,Slovenia,2010,26.80,56.34,27.55,8.73,4.65,4.94,0.45,20.96,41.57
